Session,Channel,Threshold,Model,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples
2025-09-25_12-52-22,25,0.8,CNN1D_2,0,0,48,0.0,0.0,0.0,,0,48
2025-09-25_12-52-22,25,0.8,CNN1D_3,0,1,48,0.0,0.0,0.0,,1,48
2025-09-25_12-52-22,25,0.8,CNN1D_4,0,3,48,0.0,0.0,0.0,,3,48
2025-09-25_12-52-22,25,0.8,CNN1D_5,0,13,48,0.0,0.0,0.0,,13,48
2025-09-25_12-52-22,25,0.8,CNN2D_1,0,4,48,0.0,0.0,0.0,,4,48
2025-09-25_12-52-22,25,0.8,CNN2D_2,0,1,48,0.0,0.0,0.0,,1,48
2025-09-25_12-52-22,25,0.8,CNN2D_3,0,0,48,0.0,0.0,0.0,,0,48
2025-09-25_12-52-22,25,0.8,CNN2D_4,0,5,48,0.0,0.0,0.0,,5,48
2025-09-25_12-52-22,25,0.8,CNN2D_5,0,1,48,0.0,0.0,0.0,,1,48
2025-09-25_12-52-22,25,0.8,LSTM_1,0,0,48,0.0,0.0,0.0,,0,48
2025-09-25_12-52-22,25,0.8,LSTM_2,0,0,48,0.0,0.0,0.0,,0,48
2025-09-25_12-52-22,25,0.8,LSTM_3,0,0,48,0.0,0.0,0.0,,0,48
2025-09-25_12-52-22,25,0.8,LSTM_4,0,3,48,0.0,0.0,0.0,,6,48
2025-09-25_12-52-22,25,0.8,LSTM_5,0,1,48,0.0,0.0,0.0,,2,48
2025-09-25_12-52-22,25,0.8,SVM_1,0,1,48,0.0,0.0,0.0,,1,48
2025-09-25_12-52-22,25,0.8,SVM_2,0,1,48,0.0,0.0,0.0,,1,48
2025-09-25_12-52-22,25,0.8,SVM_3,0,3,48,0.0,0.0,0.0,,3,48
2025-09-25_12-52-22,25,0.8,SVM_4,0,1,48,0.0,0.0,0.0,,1,48
2025-09-25_12-52-22,25,0.8,SVM_5,0,1,48,0.0,0.0,0.0,,1,48
2025-09-25_12-52-22,25,0.8,XGBOOST_1,0,3,48,0.0,0.0,0.0,,4,48
2025-09-25_12-52-22,25,0.8,XGBOOST_2,1,24,47,0.04,0.020833333333333332,0.0273972602739726,74.73333333339542,27,48
2025-09-25_12-52-22,25,0.8,XGBOOST_3,0,13,48,0.0,0.0,0.0,,14,48
2025-09-25_12-52-22,25,0.8,XGBOOST_4,1,25,47,0.038461538461538464,0.020833333333333332,0.02702702702702703,74.73333333339542,27,48
2025-09-25_12-52-22,25,0.8,XGBOOST_5,1,15,47,0.0625,0.020833333333333332,0.03125,74.73333333339542,16,48
2025-09-25_16-41-14,21,0.8,CNN1D_1,11,0,133,1.0,0.0763888888888889,0.14193548387096777,26.636363636376867,12,144
2025-09-25_16-41-14,21,0.8,CNN1D_2,3,0,141,1.0,0.020833333333333332,0.04081632653061225,7.622222222213168,3,144
2025-09-25_16-41-14,21,0.8,CNN1D_3,16,0,128,1.0,0.1111111111111111,0.19999999999999998,23.918750000004366,16,144
2025-09-25_16-41-14,21,0.8,CNN1D_4,24,2,120,0.9230769230769231,0.16666666666666666,0.2823529411764706,23.926388888881167,25,144
2025-09-25_16-41-14,21,0.8,CNN1D_5,17,0,127,1.0,0.11805555555555555,0.21118012422360247,30.20784313725616,15,144
2025-09-25_16-41-14,21,0.8,CNN2D_1,55,17,89,0.7638888888888888,0.3819444444444444,0.5092592592592593,16.905454545448514,71,144
2025-09-25_16-41-14,21,0.8,CNN2D_2,0,0,144,0.0,0.0,0.0,,0,144
2025-09-25_16-41-14,21,0.8,CNN2D_3,0,0,144,0.0,0.0,0.0,,0,144
2025-09-25_16-41-14,21,0.8,CNN2D_4,2,0,142,1.0,0.013888888888888888,0.0273972602739726,37.39999999999418,2,144
2025-09-25_16-41-14,21,0.8,CNN2D_5,4,0,140,1.0,0.027777777777777776,0.05405405405405406,23.641666666662786,4,144
2025-09-25_16-41-14,21,0.8,LSTM_1,0,0,144,0.0,0.0,0.0,,0,144
2025-09-25_16-41-14,21,0.8,LSTM_2,0,0,144,0.0,0.0,0.0,,0,144
2025-09-25_16-41-14,21,0.8,LSTM_3,0,0,144,0.0,0.0,0.0,,0,144
2025-09-25_16-41-14,21,0.8,LSTM_4,4,0,140,1.0,0.027777777777777776,0.05405405405405406,44.76666666665551,4,144
2025-09-25_16-41-14,21,0.8,LSTM_5,22,0,122,1.0,0.1527777777777778,0.26506024096385544,25.51969696969635,25,144
2025-09-25_16-41-14,21,0.8,SVM_1,10,2,134,0.8333333333333334,0.06944444444444445,0.12820512820512822,32.90333333333547,19,144
2025-09-25_16-41-14,21,0.8,SVM_2,20,7,124,0.7407407407407407,0.1388888888888889,0.2339181286549708,35.13833333332222,44,144
2025-09-25_16-41-14,21,0.8,SVM_3,19,11,125,0.6333333333333333,0.13194444444444445,0.21839080459770116,29.515789473687427,41,144
2025-09-25_16-41-14,21,0.8,SVM_4,21,11,123,0.65625,0.14583333333333334,0.23863636363636362,34.45714285713412,51,144
2025-09-25_16-41-14,21,0.8,SVM_5,23,11,121,0.6764705882352942,0.1597222222222222,0.25842696629213485,34.685507246370946,53,144
2025-09-25_16-41-14,21,0.8,XGBOOST_1,41,8,103,0.8367346938775511,0.2847222222222222,0.4248704663212436,23.55040650407318,52,144
2025-09-25_16-41-14,21,0.8,XGBOOST_2,69,30,75,0.696969696969697,0.4791666666666667,0.5679012345679013,24.238647342994437,105,144
2025-09-25_16-41-14,21,0.8,XGBOOST_3,49,17,95,0.7424242424242424,0.3402777777777778,0.4666666666666666,23.00068027210928,70,144
2025-09-25_16-41-14,21,0.8,XGBOOST_4,64,26,80,0.7111111111111111,0.4444444444444444,0.5470085470085471,22.98177083333212,99,144
2025-09-25_16-41-14,21,0.8,XGBOOST_5,49,14,95,0.7777777777777778,0.3402777777777778,0.47342995169082125,24.758503401358862,67,144
2025-09-22_17-42-27,24,0.9,CNN1D_1,31,2,78,0.9393939393939394,0.28440366972477066,0.4366197183098592,25.758064516127916,35,109
2025-09-22_17-42-27,24,0.9,CNN1D_2,1,0,108,1.0,0.009174311926605505,0.018181818181818184,37.03333333332557,1,109
2025-09-22_17-42-27,24,0.9,CNN1D_3,5,0,104,1.0,0.045871559633027525,0.08771929824561404,26.713333333323316,5,109
2025-09-22_17-42-27,24,0.9,CNN1D_4,13,1,96,0.9285714285714286,0.11926605504587157,0.21138211382113822,33.3871794871607,13,109
2025-09-22_17-42-27,24,0.9,CNN1D_5,34,2,75,0.9444444444444444,0.3119266055045872,0.4689655172413793,19.865686274500685,35,109
2025-09-22_17-42-27,24,0.9,CNN2D_1,20,1,89,0.9523809523809523,0.1834862385321101,0.3076923076923077,15.191666666667697,21,109
2025-09-22_17-42-27,24,0.9,CNN2D_2,0,0,109,0.0,0.0,0.0,,0,109
2025-09-22_17-42-27,24,0.9,CNN2D_3,0,0,109,0.0,0.0,0.0,,0,109
2025-09-22_17-42-27,24,0.9,CNN2D_4,0,0,109,0.0,0.0,0.0,,0,109
2025-09-22_17-42-27,24,0.9,CNN2D_5,1,0,108,1.0,0.009174311926605505,0.018181818181818184,15.266666666666424,1,109
2025-09-22_17-42-27,24,0.9,LSTM_1,0,0,109,0.0,0.0,0.0,,0,109
2025-09-22_17-42-27,24,0.9,LSTM_2,0,0,109,0.0,0.0,0.0,,0,109
2025-09-22_17-42-27,24,0.9,LSTM_3,0,0,109,0.0,0.0,0.0,,0,109
2025-09-22_17-42-27,24,0.9,LSTM_4,6,0,103,1.0,0.05504587155963303,0.10434782608695652,43.338888888897294,7,109
2025-09-22_17-42-27,24,0.9,LSTM_5,29,0,80,1.0,0.26605504587155965,0.4202898550724638,25.20919540229455,34,109
2025-09-22_17-42-27,24,0.9,SVM_1,10,0,99,1.0,0.09174311926605505,0.16806722689075632,32.1466666666689,18,109
